restaurantname,pricerange,area,food,phone,addr,postcode,good food,busy,long stay,romantic,children
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,False,False,True,True,False
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,False,False,True,True,False
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,True,True,True,False,False
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,False,True,True,False,False
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,True,True,True,False,False
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,False,True,True,False,False
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,False,True,True,False,False
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,True,False,True,True,False
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,True,True,True,False,False
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,False,False,True,True,False
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,False,False,True,True,False
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,False,True,True,False,False
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,True,True,True,False,False
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,False,True,True,False,False
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,True,True,True,False,False
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,True,False,True,True,False
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,True,True,True,False,False
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,True,True,True,False,False
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,True,True,True,False,False
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,False,False,False,True,False
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,True,True,True,False,False
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,False,True,True,False,False
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,False,True,True,False,False
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,True,False,False,False,False
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,False,False,True,True,False
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,True,True,True,False,False
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,False,False,False,False,False
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,True,True,True,False,False
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,False,False,True,True,False
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,True,True,True,False,False
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,True,True,True,False,False
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,True,True,True,False,False
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,False,False,True,True,False
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,False,True,True,False,False
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,False,True,True,False,False
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,False,False,True,True,False
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,False,True,True,False,False
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,True,False,False,False,False
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,False,True,True,False,False
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,False,False,True,True,False
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,False,True,True,False,False
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,True,False,True,True,False
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,False,False,True,True,False
charlie chan,cheap,centre,chinese,01223 361763,regent street city centre,c.b 2,True,True,True,False,False
lan hong house,moderate,centre,thai,01223 350420,12 norfolk street city centre,,True,True,True,False,False
la tasca,moderate,centre,spanish,01223 464630,14 -16 bridge street,c.b 2,True,True,True,False,False
backstreet bistro,expensive,south,gastropub,01223 306306,2 sturton street city centre,c.b 1,False,True,True,False,False
la raza,cheap,centre,spanish,01223 464550,4 - 6 rose crescent,c.b 2,False,True,True,False,False
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,True,True,True,False,False
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,False,True,True,False,False
fitzbillies restaurant,expensive,centre,british,01223 352500,51 trumpington street city centre,,True,True,True,False,False
anatolia,moderate,centre,turkish,01223 362372,30 bridge street city centre,c.b 2,True,True,True,False,False
clowns cafe,moderate,centre,bistro,01223 355711,,c.b 1,False,False,False,False,False
kohinoor,cheap,west,indian,01223 323639,74 mill road city centre,,False,True,True,False,False
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,True,True,True,False,False
gourmet burger kitchen,expensive,centre,north american,01223 312598,regent street city centre,c.b 2,False,True,True,False,False
la mimosa,expensive,centre,mediterranean,01223 362525,thompsons lane fen ditton,c.b 5,True,True,True,False,False
meze bar restaurant,expensive,centre,turkish,,196 mill road city centre,c.b 1,False,True,True,False,False
the golden curry,expensive,south,australasian,01223 329432,,,True,True,True,False,False
curry queen,moderate,,indian,,106 mill road city centre,c.b 1,True,True,True,False,False
hakka,cheap,north,persian,01223 568988,milton road chesterton,c.b 4,True,True,True,False,False
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,False,True,True,False,False
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,False,True,True,False,False
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,False,False,False,True,True
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,False,True,True,False,False
saffron brasserie,expensive,centre,jamaican,,,,False,True,True,False,False
india house,expensive,west,indian,01223 461661,31 newnham road newnham,,False,False,False,False,True
ali baba,moderate,centre,lebanese,01462 432565,59 hills road city centre,c.b 2,False,True,True,False,False
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,False,True,True,False,False
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,False,False,True,True,False
hotel du vin and bistro,moderate,centre,european,01223 227330,15 - 19 trumpington street,c.b 2,False,True,True,False,False
darrys cookhouse and wine shop,expensive,south,modern european,01223 505015,40270 king street city centre,c.b 1,True,True,True,False,False
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,False,True,True,False,False
jinling noodle bar,moderate,centre,cuban,01223 566188,11 peas hill city centre,c.b 2,True,False,True,True,False
graffiti,moderate,north,indian,01223 277977,hotel felix whitehouse lane huntingdon road,c.b 3,False,False,False,True,True
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,False,True,True,False,False
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,False,True,True,False,False
curry king,expensive,centre,seafood,01223 324351,5 jordans yard bridge street city centre,,False,True,True,False,False
panahar,expensive,centre,mediterranean,,,,True,False,True,True,False
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,False,False,True,True,False
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,True,False,False,True,True
sesame restaurant and bar,moderate,,turkish,,,,True,False,True,True,False
hk fusion,expensive,centre,thai,,21 burleigh street city centre,c.b 1,False,False,False,False,True
